トラック名	アーティスト名	アルバム名	アルバムアーティスト名	トラックの長さ（ミリ秒）	人気度	追加者	追加日時
Stars in the rain	Aimer	daydream	Aimer	302266	35	1	2021/9/11 12:05
my sweetest one	Aimer	broKen NIGHT / holLow wORlD	Aimer	279640	27	4	2021/9/11 12:05
六等星の夜	Aimer	"BEST SELECTION ""blanc"""	Aimer	337920	31	3	2021/9/11 12:05
ONE	Aimer	Sun Dance	Aimer	328493	46	7	2021/9/11 12:06
糸	Aimer	ONE / 花の唄 / 六等星の夜 Magic Blue ver.	Aimer	223946	31	3	2021/9/11 12:06
バナナフィッシュの浜辺と黒い虹	"Galileo Galilei, Aimer"	See More Glass	Galileo Galilei	282693	35	2	2021/9/11 12:06
歌鳥風月	Aimer	"BEST SELECTION ""blanc"""	Aimer	344626	32	8	2021/9/11 12:07
LAST STARDUST	Aimer	DAWN	Aimer	318666	55	3	2021/9/11 12:07
Drive Safe	Rich Brian	The Sailor	Rich Brian	240118	0	4	2021/9/11 12:07
Love In My Pocket	Rich Brian	Love In My Pocket (Weird Genius Remix)	"Rich Brian, Weird Genius"	223093	0	6	2021/9/11 12:08
La La Lost You	"88rising, NIKI"	Head In The Clouds II	88rising	200000	0	6	2021/9/11 12:08
La La Lost You - Acoustic Version	"NIKI, 88rising"	NIKI Acoustic Sessions: Head In The Clouds II	"NIKI, 88rising"	208510	1	1	2021/9/11 12:08
I Love You 3000 II	"88rising, Stephanie Poetri, Jackson Wang"	Head In The Clouds II	88rising	209642	0	8	2021/9/11 12:09
Need Is Your Love	"88rising, Joji, GENERATIONS from EXILE TRIBE"	Head In The Clouds II	88rising	158837	0	1	2021/9/11 12:09
Shouldn't Couldn't Wouldn't	"88rising, NIKI, Rich Brian"	Head In The Clouds II	88rising	195052	0	2	2021/9/11 12:09
Indigo	"88rising, NIKI"	Head In The Clouds II	88rising	173473	0	8	2021/9/11 12:09
火炎	女王蜂	火炎(Full Edition)	女王蜂	215973	59	2	2021/9/11 12:09
催眠術	女王蜂	催眠術	女王蜂	222278	44	8	2021/9/11 12:10
HALF	女王蜂	HALF(Full Edition)	女王蜂	238186	45	7	2021/9/11 12:10
まちがいさがし	菅田 将暉	LOVE	菅田 将暉	223640	65	5	2021/9/11 12:10
さよならエレジー	菅田 将暉	PLAY(Special Edition)	菅田 将暉	257066	68	8	2021/9/11 12:10
灰色と青 ( + 菅田将暉 )	"米津玄師, 菅田 将暉"	BOOTLEG	米津玄師	332131	66	8	2021/9/11 12:10
クローバー	菅田 将暉	LOVE	菅田 将暉	287986	39	5	2021/9/11 12:10
ロングホープ・フィリア	菅田 将暉	LOVE	菅田 将暉	295800	54	4	2021/9/11 12:10
つもる話	菅田 将暉	LOVE	菅田 将暉	242320	23	5	2021/9/11 12:10
キスだけで	"菅田 将暉, あいみょん"	LOVE	菅田 将暉	227480	40	6	2021/9/11 12:10
りびんぐでっど	菅田 将暉	LOVE	菅田 将暉	278920	29	1	2021/9/11 12:10
あいつとその子	菅田 将暉	LOVE	菅田 将暉	241986	26	5	2021/9/11 12:10
見たこともない景色	菅田 将暉	PLAY(Special Edition)	菅田 将暉	221693	51	5	2021/9/11 12:11
スプリンター	菅田 将暉	PLAY(Special Edition)	菅田 将暉	336280	25	8	2021/9/11 12:11
呼吸	菅田 将暉	PLAY(Special Edition)	菅田 将暉	248773	31	5	2021/9/11 12:11
ばかになっちゃったのかな	菅田 将暉	PLAY(Special Edition)	菅田 将暉	308360	42	4	2021/9/11 12:11
ソフトビニールフィギア	菅田 将暉	ロングホープ・フィリア	菅田 将暉	254506	27	8	2021/9/11 12:11
いいんだよ、きっと	菅田 将暉	PLAY(Special Edition)	菅田 将暉	363293	35	3	2021/9/11 12:12
空に歌えば	amazarashi	地方都市のメメント・モリ	amazarashi	217626	62	7	2021/9/11 12:12
さよならごっこ	amazarashi	ボイコット	amazarashi	272613	47	2	2021/9/11 12:12
僕が死のうと思ったのは	amazarashi	メッセージボトル	amazarashi	367693	43	4	2021/9/11 12:12
令和二年	amazarashi	令和二年	amazarashi	275146	24	7	2021/9/11 12:12
拒否オロジー	amazarashi	ボイコット	amazarashi	173226	22	8	2021/9/11 12:13
とどめを刺して	amazarashi	ボイコット	amazarashi	259493	33	1	2021/9/11 12:13
夕立旅立ち	amazarashi	ボイコット	amazarashi	270800	27	1	2021/9/11 12:13
帰ってこいよ	amazarashi	ボイコット	amazarashi	367253	33	7	2021/9/11 12:13
月曜日	amazarashi	ボイコット	amazarashi	368640	37	2	2021/9/11 12:13
アルカホール	amazarashi	ボイコット	amazarashi	315946	25	2	2021/9/11 12:13
マスクチルドレン	amazarashi	ボイコット	amazarashi	329186	24	3	2021/9/11 12:13
抒情死	amazarashi	ボイコット	amazarashi	277506	23	5	2021/9/11 12:13
死んでるみたいに眠ってる	amazarashi	ボイコット	amazarashi	298560	22	5	2021/9/11 12:13
リビングデッド	amazarashi	ボイコット	amazarashi	293360	34	4	2021/9/11 12:13
独白	amazarashi	ボイコット	amazarashi	306786	26	7	2021/9/11 12:13
未来になれなかったあの夜に (Long Edit.)	amazarashi	ボイコット	amazarashi	432120	28	5	2021/9/11 12:13
そういう人になりたいぜ	amazarashi	ボイコット	amazarashi	358306	26	4	2021/9/11 12:13
あんたへ	amazarashi	あんたへ	amazarashi	382626	26	5	2021/9/11 12:13
令和二年	amazarashi	令和二年、雨天決行	amazarashi	275146	20	5	2021/9/11 12:13
世界の解像度	amazarashi	令和二年、雨天決行	amazarashi	289386	25	5	2021/9/11 12:13
太陽の羽化	amazarashi	令和二年、雨天決行	amazarashi	146986	19	4	2021/9/11 12:13
馬鹿騒ぎはもう終わり	amazarashi	令和二年、雨天決行	amazarashi	324546	25	4	2021/9/11 12:13
曇天	amazarashi	令和二年、雨天決行	amazarashi	290786	22	8	2021/9/11 12:13
未来になれなかったあの夜に	amazarashi	未来になれなかったあの夜に	amazarashi	403196	35	1	2021/9/11 12:13
月が綺麗	amazarashi	リビングデッド	amazarashi	314266	22	4	2021/9/11 12:14
リビングデッド	amazarashi	リビングデッド	amazarashi	291920	16	5	2021/9/11 12:14
月曜日	amazarashi	月曜日	amazarashi	367785	21	1	2021/9/11 12:14
うたかた歌	"RADWIMPS, 菅田 将暉"	うたかた歌	RADWIMPS	350626	40	4	2021/9/11 12:14
そっけない	RADWIMPS	ANTI ANTI GENERATION	RADWIMPS	392426	68	5	2021/9/11 12:14
泣き出しそうだよ	"RADWIMPS, あいみょん"	ANTI ANTI GENERATION	RADWIMPS	280760	49	1	2021/9/11 12:15
me me she	RADWIMPS	RADWIMPS 4 ～おかずのごはん～	RADWIMPS	281493	70	1	2021/9/11 12:15
有心論	RADWIMPS	RADWIMPS 4 ～おかずのごはん～	RADWIMPS	250840	61	8	2021/9/11 12:15
いいんですか?	RADWIMPS	RADWIMPS 4 ～おかずのごはん～	RADWIMPS	248133	65	4	2021/9/11 12:15
指切りげんまん	RADWIMPS	RADWIMPS 4 ～おかずのごはん～	RADWIMPS	244800	49	4	2021/9/11 12:15
ます。	RADWIMPS	RADWIMPS 4 ～おかずのごはん～	RADWIMPS	135800	52	7	2021/9/11 12:15
バグッバイ	RADWIMPS	RADWIMPS 4 ～おかずのごはん～	RADWIMPS	398480	51	1	2021/9/11 12:15
泣きたい夜ってこんな感じ	RADWIMPS	RADWIMPS 4 ～おかずのごはん～	RADWIMPS	130253	42	5	2021/9/11 12:15
夢番地	RADWIMPS	RADWIMPS 4 ～おかずのごはん～	RADWIMPS	301266	56	3	2021/9/11 12:15
裸の心	あいみょん	おいしいパスタがあると聞いて	あいみょん	296653	68	5	2021/9/11 12:16
マリーゴールド	あいみょん	瞬間的シックスセンス	あいみょん	306626	73	6	2021/9/11 12:16
君はロックを聴かない	あいみょん	青春のエキサイトメント	あいみょん	246306	70	8	2021/9/11 12:16
きみの名前	藤川千愛	ライカ (Special Edition)	藤川千愛	301000	46	3	2021/9/11 12:16
あたしが隣にいるうちに	藤川千愛	ライカ (Special Edition)	藤川千愛	355466	46	7	2021/9/11 12:16
夢なんかじゃ飯は喰えないと誰かのせいにして	藤川千愛	ライカ (Special Edition)	藤川千愛	277106	27	1	2021/9/11 12:16
ノンフィクション	平井堅	Ken Hirai Singles Best Collection 歌バカ 2	平井堅	272280	51	3	2021/9/11 12:18
君の好きなとこ	平井堅	FAKIN' POP	平井堅	327693	54	6	2021/9/11 12:18
青空傘下	平井堅	グロテスク	平井堅	330746	10	8	2021/9/11 12:18
#302	平井堅	#302	平井堅	268866	29	8	2021/9/11 12:19
いてもたっても	平井堅	いてもたっても	平井堅	202895	15	6	2021/9/11 12:19
いとしき日々よ	平井堅	Ken Hirai Singles Best Collection 歌バカ 2	平井堅	362026	45	8	2021/9/11 12:19
