トラック名	アーティスト名	アルバム名	アルバムアーティスト名	トラックの長さ（ミリ秒）	人気度	追加者	追加日時
Stay With Me	サム・スミス	In The Lonely Hour	サム・スミス	172723	83	7	2021/9/11 21:21
I'm Not The Only One	サム・スミス	In The Lonely Hour	サム・スミス	239316	86	3	2021/9/11 21:22
Beauty and the Beast	"アリアナ・グランデ, ジョン・レジェンド"	Beauty and the Beast (Original Motion Picture Soundtrack/Japanese Version)	ヴァリアス・アーティスト	227933	51	3	2021/9/11 21:22
Start A Fire	ジョン・レジェンド	La La Land - The Complete Musical Experience	ヴァリアス・アーティスト	190951	30	7	2021/9/11 21:22
Tell me	milet	eyes	milet	223013	47	4	2021/9/11 21:23
雪月花	湘南乃風	湘南乃風 〜2023〜	湘南乃風	346013	27	2	2021/9/11 21:23
春夏秋冬	sumika	Chime	sumika	278040	42	3	2021/9/11 21:26
staple stable	物語シリーズ	歌物語 Special Edition	物語シリーズ	275266	40	2	2021/9/11 21:26
君の知らない物語	supercell	歌物語 Special Edition	物語シリーズ	344053	31	3	2021/9/11 21:26
sugar sweet nightmare	物語シリーズ	歌物語 Special Edition	物語シリーズ	271146	35	5	2021/9/11 21:26
Sunflower - Spider-Man: Into the Spider-Verse	"ポスト・マローン, スワエ・リー"	Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)	ヴァリアス・アーティスト	158040	83	1	2021/9/11 21:27
Invincible	Aminé	Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)	ヴァリアス・アーティスト	196386	58	2	2021/9/11 21:28
Memories	Thutmose	Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)	ヴァリアス・アーティスト	199146	55	7	2021/9/11 21:28
Scared of the Dark (feat. XXXTENTACION)	"リル・ウェイン, タイ･ダラー･サイン, XXXTENTACION"	Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)	ヴァリアス・アーティスト	233000	71	4	2021/9/11 21:28
Hide (feat. Seezyn)	"Juice WRLD, Seezyn"	Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)	ヴァリアス・アーティスト	205800	74	7	2021/9/11 21:28
drop pop candy (feat. ギガ)	"Reol, Giga"	No title-	Reol	224962	53	5	2021/9/11 21:29
十中八九	Reol	事実上(Special edition)	Reol	225600	38	7	2021/9/11 21:30
Revival	スキマスイッチ	新空間アルゴリズム	スキマスイッチ	273066	43	4	2021/9/11 21:31
Sincerely	TRUE	Lonely Queen's Liberation Party	TRUE	275800	1	8	2021/9/11 21:31
湾岸高速	卍LINE	TIME WAVE	卍LINE	298960	3	5	2021/9/11 21:33
STAND-ALONE	Aimer	Walpurgis	Aimer	285826	44	2	2021/9/11 21:35
猫	DISH//	僕たちがやりました	DISH//	276040	66	6	2021/9/11 21:35
サヨナラムーンタウン	シナリオアート	サヨナラムーンタウン	シナリオアート	230253	43	6	2021/9/11 21:38
ハートシグナル	羽多野渉	ひとりじめマイヒーロー OP 「ハートシグナル」	羽多野渉	231693	22	4	2021/9/11 21:38
i swear i'll never leave again	keshi	THE REAPER	keshi	173716	63	4	2021/9/25 12:21
Ross And Rachel	Jake Miller	Silver Lining II	Jake Miller	192980	50	7	2021/9/25 12:39
阿修羅小町 - Full Spec Edition	幾松(平野綾)	龍が如くシリーズ･カラオケ定番曲コレクション(龍が如く7 光と闇の行方)	SEGA SOUND TEAM	242576	3	8	2021/9/25 22:40
Midsummer Madness	"88rising, Joji, Rich Brian"	Head In The Clouds	88rising	280841	1	1	2021/9/26 23:07
黄色	back number	黄色	back number	297997	52	1	2021/9/27 11:06
Too Sad To Cry	Sasha Alex Sloan	Self Portrait	Sasha Alex Sloan	208990	58	5	2021/9/27 11:14
STAR CITY CAFE	"hevel, Evito"	STAR CITY CAFE	"hevel, Evito"	139780	0	5	2021/9/27 11:22
Stuck with U (with Justin Bieber)	"アリアナ・グランデ, ジャスティン・ビーバー"	Stuck with U	"アリアナ・グランデ, ジャスティン・ビーバー"	228482	82	8	2021/9/27 11:27
COULD HAVE BEEN YOU	Jake Miller	SUMMER 19	Jake Miller	202281	39	6	2021/9/27 11:48
Don't Let Me	Jake Scott	Don't Let Me	Jake Scott	222865	30	3	2021/9/27 11:59
Off	Jake Scott	Off	Jake Scott	165604	38	8	2021/9/27 12:04
positions	アリアナ・グランデ	Positions	アリアナ・グランデ	172324	80	2	2021/9/27 12:06
time machine	"mj apanay, aren park"	seen 11:23 pm	mj apanay	225933	0	5	2021/9/30 16:08
"dear me,"	Gentle Bones	"dear me,"	Gentle Bones	165967	46	8	2021/9/30 16:27
I GUESS I'M IN LOVE	Clinton Kane	I GUESS I'M IN LOVE	Clinton Kane	204093	66	6	2021/9/30 17:52
コンタクトケース	Saucy Dog	サラダデイズ	Saucy Dog	286493	60	2	2021/9/30 18:09
No Time To Die	ビリー・アイリッシュ	No Time To Die	ビリー・アイリッシュ	242265	77	4	2021/10/2 20:58
On My Own	岩崎太整	TVアニメ「血界戦線」オリジナル・サウンドトラック	岩崎太整	271586	25	6	2021/10/4 10:35
World Goes Round	岩崎太整	TVアニメ「血界戦線」オリジナル・サウンドトラック	岩崎太整	198813	22	5	2021/10/4 10:37
神室純恋歌 [Full Spec Edition] 秋山 駿(山寺 宏一)&花(平野 綾)		神室純恋歌 [Full Spec Edition] 秋山 駿(山寺 宏一)&花(平野 綾)		258000	0	2	2021/10/8 22:13
amazarashi - 初雪		amazarashi - 初雪		317000	0	2	2021/10/8 22:16
WALK - movie ver.	ビッケブランカ	夏の夢/WALK	ビッケブランカ	224280	37	7	2021/10/8 22:19
rain drops - Full Spec Edition	花(平野綾)	龍が如くシリーズ･カラオケ定番曲コレクション(龍が如く7 光と闇の行方)	SEGA SOUND TEAM	325533	17	3	2021/10/8 22:26
境界線	amazarashi	境界線	amazarashi	293824	50	3	2021/10/10 10:13
BOY	King Gnu	BOY	King Gnu	231385	55	3	2021/10/21 12:58
Winding Road	MAN WITH A MISSION	Chasing the Horizon	MAN WITH A MISSION	223573	48	4	2021/10/27 20:18
Fly with me	ꉈꀧ꒒꒒ꁄꍈꍈꀧ꒦ꉈ ꉣꅔꎡꅔꁕꁄ	THE MILLENNIUM PARADE	MILLENNIUM PARADE	276253	0	4	2021/10/29 9:57
Yes-No	小田和正	あの日 あの時	小田和正	297573	36	5	2021/11/8 18:40
メロディー	玉置浩二	田園 KOJI TAMAKI BEST	玉置浩二	276533	23	4	2021/11/8 18:52
青春狂騒曲	サンボマスター	サンボマスターは君に語りかける	サンボマスター	286186	0	1	2021/11/8 19:27
うたかた花火	supercell	うたかた花火／星が瞬くこんな夜に	supercell	361506	47	5	2021/11/8 19:30
自転車	オレスカバンド	自転車	オレスカバンド	209773	39	8	2021/11/8 19:30
真夜中のオーケストラ	Aqua Timez	真夜中のオーケストラ	Aqua Timez	353933	28	7	2021/11/8 19:31
虹	真空ホロウ	虹	真空ホロウ	257186	35	3	2021/11/8 19:31
花瓶の花	石崎ひゅーい	花瓶の花	石崎ひゅーい	322000	33	2	2021/11/8 19:32
天国電話	石崎ひゅーい	花瓶の花	石崎ひゅーい	311226	16	2	2021/11/8 19:32
夜間飛行	石崎ひゅーい	独立前夜	石崎ひゅーい	248906	24	1	2021/11/8 19:33
マシ・マシ	NICO Touches the Walls	マシ・マシ	NICO Touches the Walls	247960	0	8	2021/11/8 19:34
Kakusei	"Sapphire, Patrick Bartley"	Kakusei	Sapphire	254000	25	8	2021/11/8 19:54
MOIL	須田景凪	porte	須田景凪	220282	30	7	2021/11/17 21:43
veil	須田景凪	Billow	須田景凪	209636	63	4	2021/11/17 21:43
蕚	"ヒプノシスマイク -D.R.B.- (Fling Posse), ヒプノシスマイク -D.R.B- (夢野幻太郎)"	Fling Posse -Before The 2nd D.R.B-	ヒプノシスマイク -D.R.B.- (Fling Posse)	205724	36	7	2021/11/18 11:50
Stella	ヒプノシスマイク -D.R.B.- (Fling Posse)	Enter the Hypnosis Microphone	ヒプノシスマイク -D.R.B- (Division All Stars)	293504	36	5	2021/11/18 11:54
TOMOSHIBI	ヒプノシスマイク -D.R.B- (麻天狼)	ヒプノシスマイク -Division Rap Battle- 2nd D.R.B『Bad Ass Temple VS 麻天狼』	"ヒプノシスマイク -D.R.B- (Bad Ass Temple), ヒプノシスマイク -D.R.B- (麻天狼)"	312706	31	4	2021/11/18 11:56
パピヨン	ヒプノシスマイク -D.R.B- (麻天狼)	Enter the Hypnosis Microphone	ヒプノシスマイク -D.R.B- (Division All Stars)	245648	31	4	2021/11/18 11:57
おっさん	岡崎体育	おっさん	岡崎体育	300386	21	7	2021/11/18 18:24
留学生	"Monkey Majik, 岡崎体育"	COLLABORATED	Monkey Majik	214773	44	7	2021/11/18 18:24
潮風	岡崎体育	潮風	岡崎体育	223840	23	1	2021/11/18 18:24
Gangsta's Paradise	"ヒプノシスマイク -D.R.B.- (MAD TRIGGER CREW), ヒプノシスマイク -D.R.B- (碧棺左馬刻)"	MAD TRIGGER CREW -Before The 2nd D.R.B-	ヒプノシスマイク -D.R.B.- (MAD TRIGGER CREW)	183358	36	5	2021/11/18 21:38
シノギ(Dead Pools)	ヒプノシスマイク -D.R.B.- (MAD TRIGGER CREW)	Enter the Hypnosis Microphone	ヒプノシスマイク -D.R.B- (Division All Stars)	200141	33	8	2021/11/18 21:51
I'm In Love With My Car - Remastered 2011	クイーン	A Night At The Opera (2011 Remaster)	クイーン	184893	49	7	2021/11/24 23:07
Bohemian Rhapsody - Remastered 2011	クイーン	A Night At The Opera (2011 Remaster)	クイーン	354320	83	3	2021/11/24 23:08
You're My Best Friend - Remastered 2011	クイーン	A Night At The Opera (2011 Remaster)	クイーン	170786	67	3	2021/11/24 23:08
Made In Heaven - 2011 Remaster	クイーン	Made In Heaven (Deluxe Edition 2011 Remaster)	クイーン	324920	33	7	2021/11/24 23:08
Killer Queen - Remastered 2011	クイーン	Killer Queen	クイーン	180866	22	1	2021/11/24 23:09
Love Of My Life - Remastered 2011	クイーン	Queen Forever (Deluxe Edition)	クイーン	213340	31	6	2021/11/24 23:09
Somebody To Love - 2014 Remaster	クイーン	Queen Forever (Deluxe Edition)	クイーン	292946	24	1	2021/11/24 23:10
Crazy Little Thing Called Love - Remastered 2011	クイーン	Queen Forever (Deluxe Edition)	クイーン	163520	25	7	2021/11/24 23:10
人として	SUPER BEAVER	27	SUPER BEAVER	244720	63	2	2021/12/1 16:53
ロングホープ・フィリア - From THE FIRST TAKE	amazarashi	ロングホープ・フィリア - From THE FIRST TAKE	amazarashi	307124	28	5	2021/12/1 16:54
自虐家のアリー	amazarashi	季節は次々死んでいく	amazarashi	328146	35	7	2021/12/1 16:55
Memento mori	"androp, Aimer"	cocoon	androp	526680	25	1	2021/12/1 16:55
夏を待っていました	amazarashi	爆弾の作り方	amazarashi	340746	33	8	2021/12/1 16:56
ライフイズビューティフル	amazarashi	世界収束二一一六	amazarashi	369586	28	1	2021/12/1 16:56
All I Want for Christmas Is You	マライア・キャリー	Merry Christmas	マライア・キャリー	241562	99	2	2021/12/13 22:21
君あり故に我あり	"ヒプノシスマイク -D.R.B- (麻天狼), ヒプノシスマイク -D.R.B- (神宮寺寂雷)"	麻天狼 -Before The 2nd D.R.B-	ヒプノシスマイク -D.R.B- (麻天狼)	237897	29	2	2021/12/15 19:46
迷宮壁	"ヒプノシスマイク -D.R.B- (麻天狼), ヒプノシスマイク -D.R.B- (神宮寺寂雷)"	麻天狼-音韻臨床-	ヒプノシスマイク -D.R.B- (麻天狼)	264134	26	3	2021/12/15 19:47
Wolven Storm - English	Marcin Przybyłowicz	Wolven Storm (English)	Marcin Przybyłowicz	198400	51	2	2021/12/20 15:00
Rightfully（TVアニメゴブリンスレイヤーOPテーマ）	Mili	Rightfully（TVアニメゴブリンスレイヤーOPテーマ）	Mili	213333	30	4	2021/12/20 15:01
Within（TVアニメゴブリンスレイヤー12話 挿入歌）	Mili	Within（TVアニメゴブリンスレイヤー12話 挿入歌）	Mili	166184	22	8	2021/12/20 15:02
Camelia	Mili	Millennium Mother	Mili	279986	23	2	2021/12/20 15:02
奶水	Mili	Millennium Mother	Mili	194146	14	5	2021/12/20 15:02
world.search (you) ;	Mili	Millennium Mother	Mili	295266	17	8	2021/12/20 15:02
Ga1ahad and Scientific Witchery	Mili	Miracle Milk	Mili	221378	31	4	2021/12/20 15:02
RTRT	Mili	Miracle Milk	Mili	215023	34	1	2021/12/20 15:03
Bathtub Mermaid	Mili	Miracle Milk	Mili	224022	24	6	2021/12/20 15:03
Fight Another Day (Andy Tunstall Remix)	"Kat Penkin, Andy Tunstall"	Cytus II-Paff (Original Soundtrack)	ヴァリアス・アーティスト	160000	33	6	2021/12/20 15:04
Speed of Light	"塞壬唱片-MSR, DJ Okawari, Ai Ninomiya"	Speed of Light	"塞壬唱片-MSR, DJ Okawari, Ai Ninomiya"	245817	46	8	2021/12/20 15:05
Fireflies	"Funk Fiction, Nikki Simmons"	Cytus II-Paff (Original Soundtrack)	ヴァリアス・アーティスト	171691	37	3	2021/12/20 15:06
我不是	Nowhere Band	名為自我的那些	Nowhere Band	220983	0	5	2021/12/20 15:06
Black Hole	"ヴァリアス・アーティスト, A-Tse, KIVΛ"	Cytus II-Xenon (Original Soundtrack)	ヴァリアス・アーティスト	330691	12	5	2021/12/20 15:08
真夜中のオーケストラ	Aqua Timez	カルペ・ディエム	Aqua Timez	353760	48	5	2021/12/20 15:09
颯爽と走るトネガワ君	ゲスの極み乙女	颯爽と走るトネガワ君	ゲスの極み乙女	123901	28	2	2021/12/20 15:10
狂言回し	NoisyCell	Focus	NoisyCell	198400	2	8	2021/12/20 15:10
夜明けのうた	宮本浩次	夜明けのうた	宮本浩次	267333	23	4	2021/12/21 20:58
The Weekend (with 347aidan) - Remix	"88rising, BIBI, 347aidan"	The Weekend (with 347aidan) [Remix]	"88rising, BIBI, 347aidan"	167661	0	1	2021/12/25 12:03
風船飛行(男性ver.)	"ポプ子(CV:伊東健人), ピピ美(CV:木島隆一)"	ポプテピピック ALL TIME BEST2	ポプテピピック ALL TIME BEST	225280	7	4	2021/12/29 0:18
POPPY PAPPY DAY(男性ver.1)	"ポプ子(CV:赤羽根健治), ピピ美(CV:武内駿輔)"	ポプテピピック ALL TIME BEST	ポプテピピック ALL TIME BEST	289040	8	3	2021/12/29 0:22
恋して♡ポプテピピック(男性ver.)	"ポプ子(CV:赤羽根健治), ピピ美(CV:武内駿輔)"	ポプテピピック ALL TIME BEST	ポプテピピック ALL TIME BEST	92466	7	8	2021/12/29 0:22
人生(男性ver.)	"ポプ子(CV:増田俊樹), ピピ美(CV:羽多野渉)"	ポプテピピック ALL TIME BEST	ポプテピピック ALL TIME BEST	98826	3	8	2021/12/29 0:24
第六感	Reol	第六感	Reol	191624	59	3	2021/12/30 22:19
No title	Reol	No title-	Reol	243903	56	8	2021/12/30 22:19
inside you	milet	eyes	milet	222306	54	3	2021/12/30 22:20
いい日旅立ち	谷村新司	Shinji Tanimura with PIANO MY NOTE	谷村新司	275093	26	1	2021/12/31 20:42
CRAZY	谷村新司	ラバン	谷村新司	297893	1	2	2021/12/31 20:42
"Woman ""Wの悲劇""より - 「Wの悲劇」より"	薬師丸ひろ子	歌物語	薬師丸ひろ子	231040	0	8	2021/12/31 23:04
そして・・生きなさい	由紀さおり	そして・・生きなさい	由紀さおり	227693	3	1	2022/1/2 19:47
東京 - From THE FIRST TAKE	"SUPER BEAVER, 長屋晴子"	東京 - From THE FIRST TAKE	SUPER BEAVER	291157	46	1	2022/1/5 13:39
おもかげ (produced by Vaundy)	"milet, Aimer, 幾田りら"	おもかげ (produced by Vaundy)	"milet, Aimer, 幾田りら"	188060	62	2	2022/1/5 13:45
DADDY ! DADDY ! DO !	"鈴木雅之, 鈴木愛理"	ALL TIME ROCK 'N' ROLL	鈴木雅之	254640	63	3	2022/1/5 13:49
Bullet Waiting for Me (James Landino Remix)	"Nikki Simmons, James Landino"	Cytus II-Paff (Original Soundtrack)	ヴァリアス・アーティスト	148035	34	8	2022/1/7 14:36
Pink cheeks	eldon	Pink cheeks	eldon	183773	53	3	2022/1/28 14:25
世界はそれを愛と呼ぶんだぜ	サンボマスター	世界はそれを愛と呼ぶんだぜ	サンボマスター	312626	55	1	2022/1/31 14:53
奇跡を望むなら...	JUJU	Open Your Heart〜素顔のままで〜	JUJU	379320	45	5	2022/1/31 15:05
関白宣言	さだまさし	さだまさしベスト	さだまさし	354066	32	6	2022/1/31 15:28
関白失脚	さだまさし	さだまさしベスト	さだまさし	436386	32	6	2022/1/31 15:28
防人の詩	さだまさし	さだまさしベスト	さだまさし	425333	23	8	2022/1/31 15:51
First Dates	SALU	INDIGO	SALU	197096	39	7	2022/1/31 17:06
One Last Kiss	宇多田ヒカル	One Last Kiss	宇多田ヒカル	252026	63	8	2022/2/3 3:04
君に夢中	宇多田ヒカル	BADモード	宇多田ヒカル	257953	57	7	2022/2/3 3:04
If I Ain't Got You	アリシア・キーズ	The Diary Of Alicia Keys	アリシア・キーズ	228706	84	5	2022/2/3 22:26
RUNAWAY W ME	Warren Hue	RUNAWAY W ME	Warren Hue	181853	0	4	2022/2/4 14:43
コネクト	ClariS	コネクト	ClariS	271733	44	4	2022/2/24 13:21
Tiny Light	鬼頭明里	Desire Again	鬼頭明里	290813	38	5	2022/3/9 16:50
恋のディスコクイーン	SEGA SOUND TEAM	龍が如く0 誓いの場所 オリジナルサウンドトラック (Side B)	SEGA SOUND TEAM	124690	24	1	2022/3/31 11:45
明日晴れるかな	桑田佳祐	I LOVE YOU -now & forever-	桑田佳祐	313866	52	6	2022/3/31 12:43
1.0	amazarashi	1.0	amazarashi	331996	27	2	2022/4/1 12:56
ばかまじめ	"Creepy Nuts, Ayase, 幾田りら"	ばかまじめ	"Creepy Nuts, Ayase, 幾田りら"	172366	53	2	2022/4/1 13:02
Cytus II - Winter Games		Cytus II - Winter Games		158000	0	7	2022/4/7 12:46
空白の車窓から	amazarashi	空白の車窓から	amazarashi	338279	16	6	2022/4/12 10:18
感情道路七号線	amazarashi	七号線ロストボーイズ	amazarashi	92745	26	7	2022/4/14 0:38
ロストボーイズ	amazarashi	七号線ロストボーイズ	amazarashi	346303	33	2	2022/4/14 0:40
君がいて水になる	ずっと真夜中でいいのに。	正しい偽りからの起床	ずっと真夜中でいいのに。	285280	44	8	2022/4/14 15:08
拝啓、地獄より	地獄の沙汰オールスターズ	拝啓、地獄より	地獄の沙汰オールスターズ	256497	23	7	2022/4/19 18:05
アオモリオルタナティブ	amazarashi	七号線ロストボーイズ	amazarashi	285309	25	8	2022/4/24 9:18
アダプテッド	amazarashi	七号線ロストボーイズ	amazarashi	315195	31	8	2022/5/1 14:21
M八七	米津玄師	M八七	米津玄師	263123	50	1	2022/5/13 11:37
打上花火	米津玄師	BOOTLEG	米津玄師	259394	56	7	2022/5/24 11:08
夏草に君を想う (Remaster for 星の消えた夜に 2022)	Aimer	星の消えた夜に	Aimer	262519	29	7	2022/5/24 11:10
tone (Remaster for 星の消えた夜に 2022)	Aimer	星の消えた夜に	Aimer	287186	32	3	2022/5/24 11:17
Daisy (Remaster for 星の消えた夜に 2022)	Aimer	星の消えた夜に	Aimer	260420	32	1	2022/5/24 11:37
星の消えた夜に (Remaster for 星の消えた夜に 2022)	Aimer	星の消えた夜に	Aimer	353128	31	1	2022/5/24 11:50
Ophelia (Remaster for 星の消えた夜に 2022)	Aimer	星の消えた夜に	Aimer	403876	27	5	2022/5/24 11:58
花束のかわりにメロディーを	Aimer	星の消えた夜に	Aimer	299642	28	6	2022/5/24 12:20
Wasted Nights	ONE OK ROCK	Eye of the Storm	ONE OK ROCK	224773	62	6	2022/5/24 12:22
GIRI GIRI	"鈴木雅之, すぅ"	GIRI GIRI	鈴木雅之	258765	50	4	2022/5/24 12:24
二言目	物語シリーズ	歌物語 Special Edition	物語シリーズ	265826	32	6	2022/6/3 10:41
Before	NIKI	Before	NIKI	234057	0	7	2022/6/3 19:10
GASSHOW	illion	UBU	illion	184346	0	5	2022/6/8 19:59
奇跡 2021	さだまさし	奇跡 2021	さだまさし	403299	12	1	2022/6/8 20:00
山下 達郎　希望という名の光		山下 達郎　希望という名の光		314000	0	8	2022/6/8 20:01
Tatsuro Yamashita - 硝子の少年		Tatsuro Yamashita - 硝子の少年		280000	0	5	2022/6/8 20:01
山下達郎「さよなら夏の日」		山下達郎「さよなら夏の日」		280000	0	1	2022/6/8 20:01
「RIDE ON TIME」・山下達郎		「RIDE ON TIME」・山下達郎		262000	0	3	2022/6/8 20:01
Tatsuro Yamashita - Sparkle		Tatsuro Yamashita - Sparkle		255000	0	2	2022/6/8 20:01
山下達郎 RECIPE(レシピ) 歌詞付		山下達郎 RECIPE(レシピ) 歌詞付		217000	0	4	2022/6/8 20:01
Run	Joji	Nectar	Joji	195000	1	6	2022/6/9 15:20
KONNANじゃないっ!	澤村 遥(釘宮理恵)	龍が如く5 夢、叶えし者 オリジナルサウンドトラック (Vol.2)	SEGA SOUND TEAM	310552	28	4	2022/6/14 22:38
loneliness loop	澤村 遥(釘宮理恵)	龍が如く5 夢、叶えし者 オリジナルサウンドトラック (Vol.2)	SEGA SOUND TEAM	214267	21	6	2022/6/14 22:40
TONIGHT-restart from this night- - Full Spec Edition	桐生一馬(黒田崇矢)	龍が如く極 オリジナルサウンドトラック	SEGA SOUND TEAM	279485	22	4	2022/6/17 12:20
YOKOHAMA blues	SEKAI NO OWARI	Lip	SEKAI NO OWARI	292514	47	5	2022/6/18 13:12
本日はダイヤモンド - Full Spec Edition	桐生一馬(黒田崇矢)	桐生一馬 カラオケ定番曲コレクション(龍が如く7 光と闇の行方)	SEGA SOUND TEAM	211385	23	7	2022/6/20 17:40
MachineGun Kiss - Full Spec Edition	桐生一馬(黒田崇矢)	桐生一馬 カラオケ定番曲コレクション(龍が如く7 光と闇の行方)	SEGA SOUND TEAM	270337	27	5	2022/6/20 17:41
Glimpse of Us	Joji	Glimpse of Us	Joji	233456	8	7	2022/6/21 20:32
Yakuza 5 / 龍が如く5 OST | Machine Gun Kiss (Full swing edition)		Yakuza 5 / 龍が如く5 OST | Machine Gun Kiss (Full swing edition)		271000	0	7	2022/6/30 19:57
カシオピア係留所	amazarashi	カシオピア係留所	amazarashi	375989	29	4	2022/7/7 10:35
TONIGHT-restart from this night- - Full Spec Edition	桐生一馬(黒田崇矢)	桐生一馬 カラオケ定番曲コレクション(龍が如く7 光と闇の行方)	SEGA SOUND TEAM	279485	17	3	2022/7/10 23:20
新宝島	サカナクション	魚図鑑	サカナクション	302493	56	7	2022/7/17 18:19
異世界混合大舞踏会 (feat. おばけ)	星野 源	異世界混合大舞踏会 (feat. おばけ)	星野 源	225533	44	8	2022/7/18 13:44
真夏の果実	サザンオールスターズ	真夏の果実	サザンオールスターズ	279300	64	6	2022/7/21 10:47
Friday Night	"SEGA SOUND TEAM, 稲毛 謙介, 荒井 善博"	龍が如く0 誓いの場所 オリジナルサウンドトラック (Side B)	SEGA SOUND TEAM	96148	21	8	2022/7/22 14:01
少年時代	宇多田ヒカル	少年時代	宇多田ヒカル	237194	33	4	2022/8/2 15:03
My Confession	"Alexis Smith, Ruth Galliers, Emma Adanma Holland, Joe Henson"	Laid-Back Listening	ヴァリアス・アーティスト	233700	5	1	2022/8/3 11:55
High School in Jakarta	NIKI	High School in Jakarta	NIKI	219036	0	7	2022/8/5 14:27
Summer Time	"神山羊, 池田智子"	Summer Time	神山羊	222968	20	7	2022/8/25 0:39
YELLOW	神山羊	しあわせなおとな	神山羊	178712	41	6	2022/8/25 0:39
MOIL	須田景凪	Billow	須田景凪	220282	41	8	2022/8/25 0:40
レソロジカ	須田景凪	teeter	須田景凪	213788	22	6	2022/8/25 0:40
沙燕之歌 (2019)	Supper Moment	19 Moment	Supper Moment	303524	14	8	2022/8/25 13:05
Inspiration ( Original ver. )	Hannah	Inspiration	Hannah	240238	1	3	2022/8/28 21:52
Re:Boost	EAjRock	Cytus II-Paff (Original Soundtrack)	ヴァリアス・アーティスト	191312	22	4	2022/8/29 11:34
Sunshine Duration	Sing Sing Rabbit	Sunshine Duration	Sing Sing Rabbit	213771	0	2	2022/8/31 21:07
まにまに	r-906	まにまに	r-906	268965	41	7	2022/8/31 21:16
知らぬがイム	"IIYATSU, Noz., Eye"	知らぬがイム	IIYATSU	190971	13	6	2022/8/31 21:38
One Way Love	Tsukasa	Cytus II-Neko (Original Soundtracks)	ヴァリアス・アーティスト	125401	19	3	2022/9/9 10:21
Luolimasi	SIHanatsuka	Cytus II: Robo_head (Original Soundtrack)	ヴァリアス・アーティスト	127446	20	3	2022/9/9 10:59
Celestial Sounds (KivΛ Remix)	3R2	Cytus II: Robo_head (Original Soundtrack)	ヴァリアス・アーティスト	320110	18	7	2022/9/9 11:11
ミカヅキ	さユり	Mikazukino Koukai	さユり	261920	0	2	2022/9/16 11:20
メランコリーキッチン	米津玄師	YANKEE	米津玄師	218653	63	2	2022/9/16 11:20
青い春	back number	blues	back number	236626	55	4	2022/9/16 12:12
アプリコット	いよわ	わたしのヘリテージ	いよわ	205853	44	2	2022/9/18 16:23
猫村さんのうた	"松重豊, U-zhaan, 坂本龍一"	猫村さんのうた	"松重豊, U-zhaan, 坂本龍一"	166300	28	8	2022/9/24 2:55
恋だろ	wacci	恋だろ	wacci	282426	56	8	2022/9/25 1:11
On The Drive Home	NIKI	Nicole	NIKI	256346	0	7	2022/9/25 12:51
Dopamine	Jackson Wang	MAGIC MAN	Jackson Wang	191826	0	1	2022/9/25 12:53
Come Alive	Jackson Wang	MAGIC MAN	Jackson Wang	172428	0	5	2022/9/25 13:02
world.search (you) ;	Mili	Millennium Mother	Mili	295266	35	4	2022/10/2 21:02
もっと	aiko	もっと	aiko	290868	46	2	2022/10/7 20:53
BREAK IN TO BREAK OUT	Lyn	BREAK IN TO BREAK OUT / INFINITY		283000	0	5	2022/10/7 20:54
ラブ・ストーリーは突然に	クリス・ハート	Heart Song II	クリス・ハート	270640	32	5	2022/10/7 20:54
Dark Sun…	Lyn	Dark Sun… / Autonomy		246000	0	6	2022/10/7 20:59
BY MY SIDE	いとうかなこ	Reactor	いとうかなこ	298893	16	3	2022/10/7 21:22
Forever Right Now	Conor Matthews	Forever Right Now	Conor Matthews	141828	51	4	2022/10/7 21:30
兽娘动物园op - 【武士桑】「欢迎来到加帕利动物园」【木吉他彈奏】	おさむらいさん	【武士桑】「欢迎来到加帕利动物园」【木吉他彈奏】		97000	0	1	2022/10/7 21:34
ふしぎなふしぎな生きもの	"岡崎体育, トータス松本"	「劇場版ポケットモンスター ココ」テーマソング集	岡崎体育	288280	30	6	2022/10/7 22:07
境界の彼方	茅原実里	NEO FANTASIA	茅原実里	292040	44	2	2022/10/7 22:18
大鱼	周深	大鱼		313000	0	8	2022/10/7 22:28
心里满满都是你（三糙一软睡前故事，剑三同人）	玄觞	【玄觞/秦且歌】心里满满都是你		197000	0	2	2022/10/7 22:47
はじめましての気持ちを	Daoko	はじめましての気持ちを	Daoko	227193	32	1	2022/10/7 22:57
Light A Fire	アンジェラ (Vo. Alisa)	TVアニメ「キャロル＆チューズデイ」VOCAL COLLECTION Vol.1	ヴァリアス・アーティスト	225266	36	2	2022/10/7 23:06
The One	ザ・チェインスモーカーズ	Memories...Do Not Open	ザ・チェインスモーカーズ	177573	55	8	2022/10/7 23:07
Something Just Like This	"ザ・チェインスモーカーズ, コールドプレイ"	Memories...Do Not Open	ザ・チェインスモーカーズ	247160	87	3	2022/10/7 23:07
Milky Way	VERTUEUX	〜 DMMd period. 〜 DRAMAtical Murder re:connect soundtrack	ニトロプラス キラル	288626	4	7	2022/10/9 21:44
